Localization,Disease,Pace,Pattern,Etiology
Cortex,Ischemic cortical infarct (MCA territory),hyperacute,monophasic,Vascular
Cortex,"Autoimmune encephalitis (e.g., anti-NMDA)",subacute,progressive,Inflammatory/Autoimmune
Cortex,Focal cortical dysplasia / epilepsy focus,chronic,progressive,Seizure
Subcortical white matter,Multiple sclerosis (demyelinating plaques),subacute,relapsing,Inflammatory/Autoimmune
Subcortical white matter,Small-vessel ischemic disease (leukoaraiosis),chronic,stepwise,Vascular
Subcortical white matter,Progressive multifocal leukoencephalopathy (PML),subacute,progressive,Infectious
Basal ganglia,Hypertensive intracerebral hemorrhage (putamen),hyperacute,monophasic,Vascular
Basal ganglia,Lacunar infarct (lenticulostriate),acute,monophasic,Vascular
Basal ganglia,Wilson disease (copper deposition),chronic,progressive,Metabolic
Thalamus,Thalamic ischemic infarct (PCA perforators),acute,monophasic,Vascular
Thalamus,Hypertensive thalamic hemorrhage,hyperacute,monophasic,Vascular
Thalamus,Deep cerebral venous thrombosis with bithalamic lesions,subacute,monophasic,Vascular
Midbrain,"Midbrain infarct (e.g., Weber syndrome)",acute,monophasic,Vascular
Midbrain,Tectal glioma,chronic,progressive,Neoplastic
Midbrain,Multiple sclerosis plaque (brainstem),subacute,relapsing,Inflammatory/Autoimmune
Pons,Central pontine myelinolysis (osmotic demyelination),subacute,progressive,Metabolic
Pons,Pontine infarct (basilar territory),acute,monophasic,Vascular
Pons,Cavernous malformation (pontine),subacute,stepwise,Vascular
Medulla,Lateral medullary infarct (Wallenberg),acute,monophasic,Vascular
Medulla,Medullary glioma,chronic,progressive,Neoplastic
Medulla,Demyelinating lesion (MS),subacute,relapsing,Inflammatory/Autoimmune
Cerebellum Hemisphere,Cerebellar infarct (PICA/SCA),acute,monophasic,Vascular
Cerebellum Hemisphere,Metastatic tumor to cerebellum,subacute,progressive,Neoplastic
Cerebellum Hemisphere,Acute cerebellitis (post-infectious),subacute,monophasic,Infectious
Cerebellum Midline,Medulloblastoma (vermis),subacute,progressive,Neoplastic
Cerebellum Midline,Alcoholic cerebellar degeneration (vermis-predominant),chronic,progressive,Toxic
Cerebellum Midline,Vermian infarct,acute,monophasic,Vascular
Corticospinal tracts,Lacunar infarct of posterior limb internal capsule,acute,monophasic,Vascular
Corticospinal tracts,Primary lateral sclerosis,chronic,progressive,Degenerative
Corticospinal tracts,Cervical spondylotic myelopathy (CST involvement),chronic,progressive,Degenerative
Spinothalamic tracts,Syringomyelia (central cord),chronic,progressive,Degenerative
Spinothalamic tracts,Anterior spinal artery infarct,acute,monophasic,Vascular
Spinothalamic tracts,Multiple sclerosis plaque (cord),subacute,relapsing,Inflammatory/Autoimmune
Dorsal columns,Subacute combined degeneration (B12 deficiency),subacute,progressive,Metabolic
Dorsal columns,Tabes dorsalis (neurosyphilis),chronic,progressive,Infectious
Dorsal columns,Posterior spinal artery infarct (posterior cord syndrome),acute,monophasic,Vascular
Cervical roots,Cervical radiculopathy from disc herniation,acute,stepwise,Degenerative
Cervical roots,Herpes zoster radiculitis (cervical),subacute,monophasic,Infectious
Cervical roots,Foraminal stenosis (degenerative),chronic,progressive,Degenerative
Thoracic roots,Diabetic thoracic radiculopathy,subacute,monophasic,Metabolic
Thoracic roots,Herpes zoster radiculitis (thoracic),subacute,monophasic,Infectious
Thoracic roots,Thoracic disc herniation,acute,stepwise,Degenerative
Lumbar roots,Lumbar disc herniation with radiculopathy,acute,stepwise,Degenerative
Lumbar roots,Cauda equina syndrome from central disk herniation,acute,monophasic,Degenerative
Lumbar roots,Spinal epidural abscess compressing roots,subacute,progressive,Infectious
Dorsal root ganglia,"Sensory neuronopathy (e.g., Sjögren-related)",subacute,progressive,Inflammatory/Autoimmune
Dorsal root ganglia,Varicella-zoster reactivation (zoster),subacute,monophasic,Infectious
Dorsal root ganglia,Cisplatin-induced sensory neuronopathy,subacute,progressive,Toxic
Brachial plexus,Parsonage-Turner syndrome (neuralgic amyotrophy),acute,monophasic,Inflammatory/Autoimmune
Brachial plexus,Traumatic avulsion / stretch injury,hyperacute,monophasic,Degenerative
Brachial plexus,Radiation-induced brachial plexopathy,chronic,progressive,Toxic
Lumbosacral plexus,Diabetic lumbosacral radiculoplexus neuropathy,subacute,progressive,Metabolic
Lumbosacral plexus,Retroperitoneal hematoma compressing plexus,acute,monophasic,Vascular
Lumbosacral plexus,Postoperative lumbosacral plexopathy,acute,monophasic,Degenerative
Axon,Length-dependent axonal polyneuropathy (diabetic),chronic,progressive,Metabolic
Axon,Acute motor axonal neuropathy (AMAN),acute,progressive,Inflammatory/Autoimmune
Axon,"Toxic axonopathy (e.g., arsenic)",subacute,progressive,Toxic
Myelin,AIDP (Guillain-Barré syndrome),subacute,progressive,Inflammatory/Autoimmune
Myelin,CIDP,chronic,relapsing,Inflammatory/Autoimmune
Myelin,Charcot-Marie-Tooth disease type 1 (demyelinating),chronic,progressive,Degenerative
NMJ Pre‑synaptic,Lambert-Eaton myasthenic syndrome,subacute,progressive,Inflammatory/Autoimmune
NMJ Pre‑synaptic,Botulism,acute,monophasic,Toxic
NMJ Pre‑synaptic,Aminoglycoside-induced NMJ blockade,acute,monophasic,Toxic
NMJ Post‑synaptic,Myasthenia gravis,subacute,relapsing,Inflammatory/Autoimmune
NMJ Post‑synaptic,α-bungarotoxin envenomation (postsynaptic blockade),hyperacute,monophasic,Toxic
NMJ Post‑synaptic,Congenital myasthenic syndrome (postsynaptic),chronic,progressive,Degenerative
Proximal muscle,Polymyositis,subacute,progressive,Inflammatory/Autoimmune
Proximal muscle,Dermatomyositis,subacute,progressive,Inflammatory/Autoimmune
Proximal muscle,Limb-girdle muscular dystrophy,chronic,progressive,Degenerative
Distal muscle,Inclusion body myositis,chronic,progressive,Degenerative
Distal muscle,"Distal myopathy (e.g., Welander)",chronic,progressive,Degenerative
Distal muscle,Myotonic dystrophy type 1,chronic,progressive,Degenerative
